time	V(vs)
1.208538578570902e-03	1.244732e-01
1.217746167856616e-03	1.134075e-01
1.226953757142330e-03	1.032685e-01
1.236161346428044e-03	9.405620e-02
1.245368935713759e-03	8.577064e-02
1.254576524999473e-03	7.841182e-02
1.263784114285187e-03	7.163055e-02
1.272991703570902e-03	6.533573e-02
1.282199292856616e-03	5.952734e-02
1.291406882142330e-03	5.420539e-02
1.300614471428044e-03	4.936989e-02
1.309822060713759e-03	4.502082e-02
1.319029649999473e-03	4.115819e-02
1.328516257142330e-03	3.749931e-02
1.338002864285187e-03	3.410900e-02
1.347489471428044e-03	3.098726e-02
1.356976078570902e-03	2.813408e-02
1.366462685713759e-03	2.554948e-02
1.375949292856616e-03	2.323344e-02
1.385435899999473e-03	2.118597e-02
1.395201524999473e-03	1.925169e-02
1.404967149999473e-03	1.746258e-02
1.414732774999473e-03	1.581862e-02
1.424498399999473e-03	1.431983e-02
1.434264024999473e-03	1.296620e-02
1.444029649999473e-03	1.175774e-02
1.453795274999473e-03	1.069444e-02
1.464397953570902e-03	9.641827e-03
1.475000632142330e-03	8.673266e-03
1.485603310713759e-03	7.788753e-03
1.496205989285188e-03	6.988290e-03
1.506808667856616e-03	6.271876e-03
1.517411346428045e-03	5.639511e-03
1.528014024999473e-03	5.091196e-03
1.540290810713759e-03	4.519383e-03
1.552567596428045e-03	3.998389e-03
1.564844382142330e-03	3.528213e-03
1.577121167856616e-03	3.108854e-03
1.589397953570902e-03	2.740314e-03
1.601674739285188e-03	2.422593e-03
1.613951524999473e-03	2.155689e-03
1.629297507142331e-03	1.861433e-03
1.644643489285188e-03	1.597672e-03
1.659989471428045e-03	1.364405e-03
1.675335453570902e-03	1.161632e-03
1.690681435713759e-03	9.893543e-04
1.706027417856616e-03	8.475708e-04
1.721373399999473e-03	7.362817e-04
1.734766257142331e-03	6.469702e-04
1.748159114285188e-03	5.660978e-04
1.761551971428045e-03	4.936646e-04
1.774944828570902e-03	4.296706e-04
1.788337685713759e-03	3.741157e-04
1.801730542856616e-03	3.270000e-04
1.815123399999474e-03	2.883235e-04
1.817076524999474e-03	2.827466e-04
1.843208164285263e-03	2.237288e-04
1.869339803571053e-03	1.730806e-04
1.895471442856842e-03	1.308021e-04
1.921603082142632e-03	9.689332e-05
1.947734721428421e-03	7.135422e-05
1.973866360714211e-03	5.418481e-05
1.999998000000000e-03	4.538509e-05
1.999999000000000e-03	4.538464e-05
2.000000000000000e-03	4.538418e-05
